sample_id,question,correct_answer,model_answer,is_correct,type,layer,sae_release,sae_path,sae_feature_id,sae_feature_value,feature_rank,nonzero_feature_count,feature_norm
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,14759,52.43681716918945,1,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,14154,28.777576446533203,2,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,12054,18.432064056396484,3,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,4420,16.49453353881836,4,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,886,12.881425857543945,5,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,4801,12.486573219299316,6,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,12177,11.732932090759277,7,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,16012,11.508479118347168,8,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,10886,10.772327423095703,9,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,164,9.377128601074219,10,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,4735,8.581851959228516,11,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,7293,7.622194290161133,12,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,10934,7.434466361999512,13,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,4608,7.430050849914551,14,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,3926,7.284024238586426,15,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,9276,6.6389594078063965,16,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,13092,6.521934509277344,17,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,10980,6.168773651123047,18,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,2398,6.118734836578369,19,67,79.07672119140625
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,9779,6.104822158813477,20,67,79.07672119140625
1,What is the capital of Germany?,Berlin,Berlin,True,capital_easy,1,google/gemma-scope-2b-pt-res,layer_1/width_16k/average_l0_20/params.npz,14759,52.56001281738281,1,67,79.32955932617188
